月度,达人分层,达人ID,月度视频条数,月度总GMV,参与激励方案类型,实际获得激励金额,是否当月退出,达人流失率,资金消耗率,GMV投产比
2025-10,头部,KOL_030,339,74189.56,条数+GMV叠加,1331.43,False,0.0,1.0546,56.48
2025-10,腰部,KOL_031,229,4913.14,纯条数激励,308.79,True,0.1,1.2458,12.27
2025-10,腰部,KOL_032,204,6883.03,条数+GMV叠加,550.08,False,0.1,1.2458,12.27
2025-10,腰部,KOL_033,200,5085.36,条数+GMV叠加,334.97,False,0.1,1.2458,12.27
2025-10,腰部,KOL_034,197,5803.29,条数+GMV叠加,544.52,False,0.1,1.2458,12.27
2025-10,腰部,KOL_035,210,3448.6,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_036,174,5815.56,条数+GMV叠加,544.59,False,0.1,1.2458,12.27
2025-10,腰部,KOL_037,175,3284.69,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_038,264,7560.78,条数+GMV叠加,553.57,False,0.1,1.2458,12.27
2025-10,腰部,KOL_039,175,4046.97,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_040,240,5497.06,条数+GMV叠加,542.95,False,0.1,1.2458,12.27
2025-10,腰部,KOL_041,186,4426.75,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_042,245,4558.57,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_043,221,4521.53,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_044,210,4067.61,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_045,217,5310.82,条数+GMV叠加,541.99,False,0.1,1.2458,12.27
2025-10,腰部,KOL_046,225,4139.74,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_047,221,4842.59,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_048,182,4335.14,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_049,226,6573.37,条数+GMV叠加,548.49,False,0.1,1.2458,12.27
2025-10,腰部,KOL_050,250,4953.93,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_051,220,3514.08,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_052,164,4300.33,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_053,198,4960.95,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_054,185,3759.07,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_055,181,3771.21,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_056,162,6153.86,条数+GMV叠加,546.33,False,0.1,1.2458,12.27
2025-10,腰部,KOL_057,194,3037.54,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_058,166,5647.03,条数+GMV叠加,543.72,False,0.1,1.2458,12.27
2025-10,腰部,KOL_059,227,7557.45,条数+GMV叠加,553.55,False,0.1,1.2458,12.27
2025-10,腰部,KOL_060,190,5165.38,条数+GMV叠加,541.24,False,0.1,1.2458,12.27
2025-10,腰部,KOL_061,278,8036.48,条数+GMV叠加,556.02,False,0.1,1.2458,12.27
2025-10,腰部,KOL_062,185,7375.05,条数+GMV叠加,552.61,False,0.1,1.2458,12.27
2025-10,腰部,KOL_063,192,5442.88,条数+GMV叠加,542.67,False,0.1,1.2458,12.27
2025-10,腰部,KOL_064,232,6237.09,条数+GMV叠加,546.75,False,0.1,1.2458,12.27
2025-10,腰部,KOL_065,164,4303.54,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_066,205,5878.11,条数+GMV叠加,544.91,False,0.1,1.2458,12.27
2025-10,腰部,KOL_067,228,6494.52,条数+GMV叠加,548.08,True,0.1,1.2458,12.27
2025-10,腰部,KOL_068,190,3860.17,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_069,174,3590.28,纯条数激励,308.79,True,0.1,1.2458,12.27
2025-10,腰部,KOL_070,230,4463.98,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_071,238,4758.49,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_072,275,5718.29,条数+GMV叠加,544.08,False,0.1,1.2458,12.27
2025-10,腰部,KOL_073,192,3954.06,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_074,215,7397.27,条数+GMV叠加,552.73,False,0.1,1.2458,12.27
2025-10,腰部,KOL_075,187,5516.94,条数+GMV叠加,543.05,False,0.1,1.2458,12.27
2025-10,腰部,KOL_076,175,7144.45,条数+GMV叠加,551.42,False,0.1,1.2458,12.27
2025-10,腰部,KOL_077,264,6640.91,条数+GMV叠加,548.83,False,0.1,1.2458,12.27
2025-10,腰部,KOL_078,157,4505.48,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_079,197,4755.09,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_080,223,3868.92,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_081,165,5733.39,条数+GMV叠加,544.16,False,0.1,1.2458,12.27
2025-10,腰部,KOL_082,194,3075.43,纯条数激励,308.79,True,0.1,1.2458,12.27
2025-10,腰部,KOL_083,177,4602.27,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_084,185,2873.26,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_085,190,4252.9,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_086,227,4908.92,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_087,184,4818.24,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_088,242,2568.39,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_089,239,3611.81,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_090,234,5992.47,条数+GMV叠加,545.5,False,0.1,1.2458,12.27
2025-10,腰部,KOL_091,201,6191.62,条数+GMV叠加,546.52,False,0.1,1.2458,12.27
2025-10,腰部,KOL_092,196,5239.58,条数+GMV叠加,541.62,False,0.1,1.2458,12.27
2025-10,腰部,KOL_093,184,5892.25,条数+GMV叠加,544.98,False,0.1,1.2458,12.27
2025-10,腰部,KOL_094,194,7686.43,条数+GMV叠加,554.21,False,0.1,1.2458,12.27
2025-10,腰部,KOL_095,187,4390.28,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_096,198,7086.34,条数+GMV叠加,551.13,False,0.1,1.2458,12.27
2025-10,腰部,KOL_097,208,4266.68,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_098,197,5400.56,条数+GMV叠加,542.45,False,0.1,1.2458,12.27
2025-10,腰部,KOL_099,195,5954.78,条数+GMV叠加,545.3,False,0.1,1.2458,12.27
2025-10,腰部,KOL_100,211,6875.24,条数+GMV叠加,550.04,False,0.1,1.2458,12.27
2025-10,腰部,KOL_101,199,3317.26,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_102,262,6248.08,条数+GMV叠加,546.81,True,0.1,1.2458,12.27
2025-10,腰部,KOL_103,224,7397.46,条数+GMV叠加,552.73,False,0.1,1.2458,12.27
2025-10,腰部,KOL_104,225,7189.15,条数+GMV叠加,551.65,False,0.1,1.2458,12.27
2025-10,腰部,KOL_105,187,4193.19,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_106,194,4739.0,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_107,228,3983.8,纯条数激励,308.79,True,0.1,1.2458,12.27
2025-10,腰部,KOL_108,185,3872.13,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_109,192,4470.55,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_110,214,3622.51,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_111,220,6366.11,条数+GMV叠加,547.42,False,0.1,1.2458,12.27
2025-10,腰部,KOL_112,213,5564.84,条数+GMV叠加,543.29,False,0.1,1.2458,12.27
2025-10,腰部,KOL_113,201,4273.54,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_114,221,5311.58,条数+GMV叠加,541.99,False,0.1,1.2458,12.27
2025-10,腰部,KOL_115,214,3971.91,纯条数激励,308.79,True,0.1,1.2458,12.27
2025-10,腰部,KOL_116,258,6421.7,条数+GMV叠加,547.7,True,0.1,1.2458,12.27
2025-10,腰部,KOL_117,206,3541.7,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_118,200,4258.58,纯条数激励,308.79,False,0.1,1.2458,12.27
2025-10,腰部,KOL_119,204,5145.65,条数+GMV叠加,335.28,True,0.1,1.2458,12.27
2025-10,腰部,KOL_120,203,5386.78,条数+GMV叠加,542.38,False,0.1,1.2458,12.27
2025-10,尾部,KOL_121,147,448.51,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_122,116,309.45,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_123,169,367.31,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_124,165,485.85,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_125,134,527.96,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_126,156,625.22,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_127,153,605.05,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_128,174,285.63,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_129,163,587.17,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_130,157,591.83,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_131,183,498.69,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_132,175,585.25,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_133,188,525.6,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_134,198,571.36,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_135,170,390.87,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_136,164,651.05,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_137,173,636.49,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_138,141,347.35,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_139,129,553.68,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_140,161,555.42,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_141,196,470.46,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_142,165,469.41,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_143,160,607.08,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_144,133,558.25,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_145,194,589.72,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_146,152,495.14,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_147,166,542.18,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_148,177,604.45,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_149,140,416.77,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_150,174,532.82,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_151,153,354.13,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_152,213,484.83,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_153,144,336.16,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_154,186,691.01,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_155,171,645.68,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_156,172,375.42,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_157,153,484.36,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_158,129,351.69,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_159,130,453.58,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_160,189,505.17,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_161,160,666.59,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_162,149,635.05,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_163,142,498.36,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_164,186,538.08,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_165,182,385.11,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_166,192,593.06,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_167,161,525.66,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_168,187,615.21,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_169,144,267.2,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_170,179,640.23,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_171,180,364.53,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_172,170,575.64,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_173,162,474.16,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_174,175,613.71,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_175,166,476.79,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_176,135,399.29,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_177,155,470.65,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_178,174,320.85,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_179,154,601.07,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_180,156,520.84,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_181,151,325.25,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_182,190,500.45,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_183,180,300.23,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_184,158,743.09,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_185,129,698.34,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_186,127,269.71,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_187,133,430.54,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_188,137,651.98,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_189,180,625.97,纯条数激励,308.79,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_190,166,607.37,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_191,177,671.95,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_192,153,599.13,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_193,147,473.62,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_194,161,447.19,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_195,169,298.87,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_196,161,507.64,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_197,187,692.23,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_198,172,649.26,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_199,188,501.72,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_200,134,383.77,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_201,182,597.32,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_202,163,581.0,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_203,193,842.46,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_204,186,399.77,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_205,163,338.22,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_206,171,512.13,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_207,145,519.39,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_208,131,478.05,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_209,182,497.11,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_210,140,626.48,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_211,179,635.6,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_212,148,475.09,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_213,127,482.49,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_214,190,691.93,纯条数激励,308.79,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_215,132,386.27,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_216,147,435.25,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_217,152,574.37,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_218,131,445.55,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_219,152,736.98,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_220,149,593.45,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_221,122,513.24,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_222,130,309.33,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_223,163,636.43,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_224,164,424.36,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_225,135,463.36,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_226,148,382.44,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_227,142,365.42,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_228,179,515.69,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_229,155,442.12,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_230,164,541.35,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_231,152,342.34,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_232,185,511.53,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_233,139,315.01,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_234,184,698.29,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_235,162,624.42,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_236,159,606.17,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_237,135,414.43,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_238,178,331.56,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_239,171,540.98,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_240,136,317.52,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_241,166,744.02,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_242,159,771.61,纯条数激励,308.79,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_243,157,732.79,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_244,173,309.98,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_245,152,462.12,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_246,119,458.82,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_247,137,470.25,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_248,156,680.36,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_249,187,825.04,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_250,173,632.55,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_251,131,428.59,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_252,158,430.67,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_253,127,302.03,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_254,181,598.05,纯条数激励,308.79,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_255,156,553.34,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_256,153,581.6,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_257,173,576.43,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_258,170,414.36,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_259,152,439.73,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_260,159,506.7,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_261,131,435.94,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_262,124,459.26,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_263,129,477.12,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_264,193,474.02,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_265,136,462.63,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_266,155,444.31,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_267,146,464.1,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_268,161,417.54,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_269,172,476.4,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_270,129,616.58,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_271,131,399.93,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_272,168,505.75,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_273,184,554.49,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_274,139,628.02,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_275,135,448.02,未达标,0.0,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_276,147,547.11,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_277,114,225.29,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_278,133,511.0,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_279,184,736.89,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_280,196,794.41,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_281,147,586.51,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_282,147,534.19,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_283,188,369.43,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_284,175,767.1,纯条数激励,308.79,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_285,126,586.42,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_286,172,624.4,纯条数激励,308.79,True,0.1333,0.5147,5.98
2025-10,尾部,KOL_287,167,532.82,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_288,165,255.5,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_289,164,367.82,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_290,179,497.84,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_291,156,484.66,未达标,0.0,False,0.1333,0.5147,5.98
2025-10,尾部,KOL_292,166,803.91,纯条数激励,308.79,True,0.1333,0.5147,5.98
